地段位置或門牌,社區簡稱,交易日期,總價(萬元),單價,總面積,主建物佔比,型態,屋齡,樓別/樓高,交易標的,交易筆棟數,建物現況格局,車位總價,管理組織,電梯,主要用途,備註,路段
虎尾鎮復興路１４１號六樓,立仁世家,111/03/29,580,13.1,44.4,69.93%,華廈(10層含以下有電梯),28,六層/七層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,有,有,住家用,,虎尾鎮復興路
虎尾鎮復興路１４７巷１１號五樓,立仁世家,110/12/07,450,12,37.49,57.88%,華廈(10層含以下有電梯),28,五層/七層,房地(土地+建物)+車位,土:1 建:1車:1,3房2廳2衛,,有,有,住家用,,虎尾鎮復興路
虎尾鎮復興路１４７巷２號五樓,立仁世家,110/12/31,530,12.4,42.57,61.85%,華廈(10層含以下有電梯),28,五層/七層,房地(土地+建物)+車位,土:1 建:1車:1,3房2廳2衛,,有,有,住家用,,虎尾鎮復興路
虎尾鎮復興路１４７巷９號四樓之２,立仁世家,110/09/27,340,10.5,32.46,56.61%,華廈(10層含以下有電梯),28,四層/七層,房地(土地+建物)+車位,土:1 建:1車:1,3房2廳2衛,,有,有,住家用,,虎尾鎮復興路
虎尾鎮復興路１６１號五樓,立仁世家,111/10/01,558,11.39,49,66.72%,華廈(10層含以下有電梯),29,五層/七層,房地(土地+建物)+車位,土:1 建:1車:1,3房2廳2衛,,有,有,住家用,,虎尾鎮復興路
虎尾鎮復興路２１１之５號,,113/02/18,1788,27.34,65.4,,透天厝,10,全/三層,房地(土地+建物),土:2 建:1車:0,6房1廳6衛,,無,無,住家用,,虎尾鎮復興路
虎尾鎮復興路７７巷１６號,,111/03/12,438,19.46,22.51,,透天厝,17,全/二層,房地(土地+建物),土:1 建:1車:0,2房2廳2衛,,無,無,住家用,其他增建;,虎尾鎮復興路
虎尾鎮忠孝路１５３號,,112/08/21,888,26.63,33.35,,透天厝,43,全/二層,房地(土地+建物),土:1 建:1車:0,5房2廳3衛,,無,無,住商用,契稅另由賣方負擔。,虎尾鎮忠孝路
虎尾鎮忠孝路１７１巷２之２號,,110/12/25,1050,15.52,67.66,,透天厝,16,全/四層,房地(土地+建物),土:1 建:1車:0,4房3廳3衛,,無,無,住家用,,虎尾鎮忠孝路
虎尾鎮忠孝路１８０巷１９號,,113/03/02,620,23.24,26.68,,透天厝,45,全/二層,房地(土地+建物),土:2 建:1車:0,4房2廳2衛,,無,無,住商用,,虎尾鎮忠孝路
虎尾鎮忠孝路１９６巷３２號,,112/08/15,950,17.57,54.08,,透天厝,25,全/四層,房地(土地+建物),土:2 建:1車:0,5房2廳3衛,,無,無,住家用,含傢俱設備費;,虎尾鎮忠孝路
虎尾鎮忠孝路１９６巷４３號,,110/09/24,828,15.38,53.85,,透天厝,23,全/四層,房地(土地+建物),土:2 建:1車:0,7房1廳3衛,,無,無,住家用,,虎尾鎮忠孝路
虎尾鎮忠孝路１９６巷４９號,,113/04/24,1105,19.25,57.4,,透天厝,25,全/四層,房地(土地+建物),土:2 建:1車:0,5房2廳3衛,,無,無,住家用,其他增建;,虎尾鎮忠孝路
虎尾鎮忠孝路１９６巷５０號,,112/06/09,1120,19.37,57.81,,透天厝,25,全/四層,房地(土地+建物),土:2 建:1車:0,4房3廳4衛,,無,無,住家用,,虎尾鎮忠孝路
虎尾鎮忠孝路２２６號八樓,虎尾巨星,113/03/19,520,15,34.72,68.51%,華廈(10層含以下有電梯),27,八層/八層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,有,有,住家用,,虎尾鎮忠孝路
虎尾鎮忠孝路２２８號七樓,虎尾巨星,111/01/29,388,9.9,39,68.29%,華廈(10層含以下有電梯),25,七層/八層,房地(土地+建物),土:1 建:1車:0,3房2廳1衛,,有,有,住家用,,虎尾鎮忠孝路
虎尾鎮忠孝路２２８號三樓,虎尾巨星,113/03/28,556,14.3,39,68.29%,華廈(10層含以下有電梯),28,三層/八層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,有,有,住家用,,虎尾鎮忠孝路
虎尾鎮忠孝路２２８號二樓,虎尾巨星,111/02/07,400,10.2,39.36,67.67%,華廈(10層含以下有電梯),25,二層/八層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,有,有,住家用,其他增建;,虎尾鎮忠孝路
虎尾鎮忠孝路２３０號八樓,虎尾巨星,111/04/28,368,11.2,32.79,65.65%,華廈(10層含以下有電梯),26,八層/八層,房地(土地+建物),土:1 建:1車:0,3房1廳2衛,,有,有,住家用,,虎尾鎮忠孝路
