地段位置或門牌,社區簡稱,交易日期,總價(萬元),單價,總面積,主建物佔比,型態,屋齡,樓別/樓高,交易標的,交易筆棟數,建物現況格局,車位總價,管理組織,電梯,主要用途,備註,路段
虎尾鎮虎興東十一街８２號,,111/01/18,880,15.69,56.07,,透天厝,8,全/三層,房地(土地+建物),土:3 建:1車:0,4房2廳3衛,,有,無,住家用,含土地增值稅或其他稅費;含仲介費;,虎尾鎮虎興東十一街
虎尾鎮虎興東十一街１２８號,,111/07/05,1160,20.22,57.38,,透天厝,7,全/三層,房地(土地+建物),土:2 建:1車:0,4房2廳4衛,,無,無,住家用,,虎尾鎮虎興東十一街
虎尾鎮虎興東十一街１３８號,,111/05/02,1130,19.54,57.84,,透天厝,7,全/三層,房地(土地+建物),土:1 建:1車:0,4房2廳4衛,,無,無,住家用,,虎尾鎮虎興東十一街
虎尾鎮虎興東十一街１４５號,春不老,112/09/24,1160,16.66,69.63,,透天厝,9,全/二層,房地(土地+建物),土:2 建:1車:0,4房1廳3衛,,有,無,住家用,,虎尾鎮虎興東十一街
虎尾鎮虎興東十一街１５１號,春不老,113/01/22,1302,18.05,72.14,,透天厝,9,全/二層,房地(土地+建物)+車位,土:2 建:1車:1,4房2廳3衛,,有,無,住家用,,虎尾鎮虎興東十一街
虎尾鎮虎興東十一街１５７號,春不老,112/10/21,1176,17.13,68.64,,透天厝,9,全/二層,房地(土地+建物)+車位,土:2 建:1車:1,4房2廳3衛,,有,無,住家用,,虎尾鎮虎興東十一街
虎尾鎮虎興東十一街１６２號,,111/07/05,1180,21.25,55.52,,透天厝,7,全/三層,房地(土地+建物),土:2 建:1車:0,4房2廳4衛,,無,無,住家用,,虎尾鎮虎興東十一街
虎尾鎮虎興東十一街１６６號,,111/07/05,980,16.92,57.92,,透天厝,7,全/三層,房地(土地+建物),土:2 建:1車:0,4房2廳4衛,,無,無,住家用,,虎尾鎮虎興東十一街
虎尾鎮虎興東十一街１７１號,春不老,112/12/24,1442,20.64,69.87,,透天厝,9,全/二層,房地(土地+建物),土:2 建:1車:0,4房1廳3衛,,有,無,住家用,,虎尾鎮虎興東十一街
虎尾鎮虎興東十一街１７９號,春不老,111/10/13,1080,15.59,69.27,,透天厝,8,全/二層,房地(土地+建物),土:2 建:1車:0,4房2廳3衛,,有,無,住家用,,虎尾鎮虎興東十一街
虎尾鎮虎興東十一街１８１號,春不老,111/03/25,1100,15.88,69.27,,透天厝,8,全/二層,房地(土地+建物)+車位,土:2 建:1車:2,4房2廳3衛,,有,無,住家用,含傢俱設備費;,虎尾鎮虎興東十一街
虎尾鎮虎興東十一街１９７號,春不老,112/03/30,1180,17.19,68.64,,透天厝,9,全/二層,房地(土地+建物)+車位,土:2 建:1車:2,4房2廳3衛,,有,無,住家用,含傢俱設備費;,虎尾鎮虎興東十一街
虎尾鎮虎興東十街５２號,,111/01/21,1350,21.38,63.15,,透天厝,1,全/三層,房地(土地+建物),土:3 建:1車:0,4房1廳5衛,,無,無,住家用,,虎尾鎮虎興東十街
虎尾鎮虎興東十街６８號,,111/07/20,1688,23.19,72.78,,透天厝,1,全/三層,房地(土地+建物),土:1 建:1車:0,4房3廳4衛,,無,無,住家用,建物第一次登記後移轉,虎尾鎮虎興東十街
虎尾鎮虎興東十街７０號,,111/07/20,1450,20.23,71.66,,透天厝,1,全/三層,房地(土地+建物),土:1 建:1車:0,4房3廳4衛,,無,無,住家用,建物第一次登記後移轉,虎尾鎮虎興東十街
虎尾鎮虎興東十街７２號,,111/07/20,1450,20.23,71.66,,透天厝,1,全/三層,房地(土地+建物),土:1 建:1車:0,4房3廳4衛,,無,無,住家用,建物第一次登記後移轉,虎尾鎮虎興東十街
虎尾鎮虎興東十街７６號,,111/07/20,1450,19.97,72.61,,透天厝,1,全/三層,房地(土地+建物),土:1 建:1車:0,4房3廳4衛,,無,無,住家用,建物第一次登記後移轉,虎尾鎮虎興東十街
虎尾鎮虎興東十街１２７號,,112/08/09,1220,23.81,51.23,,透天厝,6,全/三層,房地(土地+建物),土:1 建:1車:0,3房2廳4衛,,無,無,住家用,,虎尾鎮虎興東十街
虎尾鎮虎興西一街３１號,禾楓君?高鐵十期,112/12/01,1295,21.55,60.08,,透天厝,4,全/三層,房地(土地+建物),土:1 建:1車:0,4房3廳4衛,,無,無,住家用,,虎尾鎮虎興西一街
虎尾鎮虎興西一街３２之１號,禾楓君悅高鐵5期,112/02/21,880,12.93,68.07,,透天厝,7,全/三層,房地(土地+建物),土:7 建:1車:0,4房1廳3衛,,有,無,住家用,未登記建物;,虎尾鎮虎興西一街
虎尾鎮虎興西一街３３之３號,禾楓君?高鐵十期,113/03/04,1300,23.28,55.84,,透天厝,4,全/三層,房地(土地+建物),土:2 建:1車:0,5房3廳5衛,,無,無,住家用,,虎尾鎮虎興西一街
虎尾鎮虎興西一街５６號,禾楓君悅高鐵6期,112/10/27,1320,22.68,58.2,,透天厝,7,全/三層,房地(土地+建物),土:2 建:1車:0,4房3廳3衛,,無,無,住家用,,虎尾鎮虎興西一街
虎尾鎮虎興西一街１８３號,,112/04/07,1305,17.61,74.09,,透天厝,8,全/四層,房地(土地+建物),土:2 建:1車:0,4房3廳4衛,,無,無,住家用,,虎尾鎮虎興西一街
虎尾鎮虎興西一街１９５之２號,,112/09/05,700,11.54,60.65,,透天厝,9,全/四層,房地(土地+建物),土:3 建:1車:0,5房1廳4衛,,無,無,住家用,,虎尾鎮虎興西一街
虎尾鎮虎興西一街１９７號,,111/01/14,1400,19.5,71.8,,透天厝,7,全/四層,房地(土地+建物),土:3 建:1車:0,4房3廳3衛,,無,無,住家用,含土地增值稅或其他稅費;含仲介費;,虎尾鎮虎興西一街
虎尾鎮虎興西三街２９號,,113/03/22,1450,24.03,60.33,,透天厝,6,全/三層,房地(土地+建物),土:1 建:1車:0,4房3廳4衛,,無,無,住家用,其他增建;,虎尾鎮虎興西三街
虎尾鎮虎興西三街８６號,,112/05/09,1800,22.12,81.36,,透天厝,8,全/四層,房地(土地+建物),土:1 建:1車:0,4房3廳5衛,,無,無,住家用,,虎尾鎮虎興西三街
虎尾鎮虎興西三街１００號,,112/09/03,1808,22.22,81.36,,透天厝,9,全/四層,房地(土地+建物),土:1 建:1車:0,4房2廳5衛,,無,無,住家用,,虎尾鎮虎興西三街
虎尾鎮虎興西三街１１７之１號,,112/11/12,1600,24.19,66.14,,透天厝,,全/四層,房地(土地+建物),土:2 建:1車:0,4房3廳5衛,,無,無,住家用,,虎尾鎮虎興西三街
虎尾鎮虎興西三街１１７之２號,,112/09/15,1570,23.76,66.08,,透天厝,,全/四層,房地(土地+建物),土:3 建:1車:0,4房3廳5衛,,無,無,住家用,,虎尾鎮虎興西三街
虎尾鎮虎興西三街１１７之３號,,112/05/12,1569,24.09,65.14,,透天厝,,全/四層,房地(土地+建物),土:3 建:1車:0,4房3廳5衛,,無,無,住家用,預售屋、或土地及建物分件登記案件;,虎尾鎮虎興西三街
虎尾鎮虎興西三街１１７之５號,,112/04/10,1609,24.33,66.13,,透天厝,,全/四層,房地(土地+建物),土:3 建:1車:0,4房3廳5衛,,無,無,住家用,預售屋、或土地及建物分件登記案件;,虎尾鎮虎興西三街
虎尾鎮虎興西三街１１７號,,112/04/04,1518,25.16,60.33,,透天厝,,全/四層,房地(土地+建物),土:1 建:1車:0,4房3廳5衛,,無,無,住家用,預售屋、或土地及建物分件登記案件;,虎尾鎮虎興西三街
虎尾鎮虎興西三街１１９號,,112/09/27,1481,24.94,59.38,,透天厝,,全/四層,房地(土地+建物),土:1 建:1車:0,4房3廳5衛,,無,無,住家用,,虎尾鎮虎興西三街
虎尾鎮虎興西三街１２１號,,112/09/08,1498,25.24,59.34,,透天厝,,全/四層,房地(土地+建物),土:1 建:1車:0,4房3廳5衛,,無,無,住家用,,虎尾鎮虎興西三街
虎尾鎮虎興西三街１２３號,,112/08/24,1523,24.72,61.62,,透天厝,,全/四層,房地(土地+建物),土:1 建:1車:0,4房3廳5衛,,無,無,住家用,,虎尾鎮虎興西三街
虎尾鎮虎興西三街１３５號,,111/06/20,1060,19.86,53.37,,透天厝,7,全/三層,房地(土地+建物),土:1 建:1車:0,4房2廳2衛,,無,無,住家用,,虎尾鎮虎興西三街
虎尾鎮虎興西三街１３７號,,112/02/23,1050,19.67,53.37,,透天厝,7,全/三層,房地(土地+建物),土:1 建:1車:0,5房2廳3衛,,無,無,住家用,,虎尾鎮虎興西三街
虎尾鎮虎興西二路１３３之１５號,,111/01/26,1170,17.49,66.89,,透天厝,6,全/四層,房地(土地+建物),土:3 建:1車:0,5房2廳5衛,,無,無,住家用,其他增建;,虎尾鎮虎興西二路
虎尾鎮虎興西二路１３３之７號,,111/04/05,1200,17.97,66.76,,透天厝,6,全/四層,房地(土地+建物),土:3 建:1車:0,5房3廳5衛,,無,無,住家用,陽台外推;頂樓加蓋;其他增建;,虎尾鎮虎興西二路
虎尾鎮虎興西二路１４５之１７號,,111/08/05,980,16.67,58.79,,透天厝,7,全/四層,房地(土地+建物),土:4 建:1車:0,4房2廳3衛,,無,無,住家用,,虎尾鎮虎興西二路
虎尾鎮虎興西二路１７１號,,112/09/15,1680,26.79,62.72,,透天厝,1,全/三層,房地(土地+建物),土:1 建:1車:0,5房2廳5衛,,無,無,住家用,其他增建;,虎尾鎮虎興西二路
虎尾鎮虎興西五街７９號,,112/12/17,1800,29.73,60.54,,透天厝,1,全/三層,房地(土地+建物),土:2 建:1車:0,4房2廳4衛,,無,無,住家用,,虎尾鎮虎興西五街
虎尾鎮虎興西五街８１號,,112/12/07,1720,28.85,59.62,,透天厝,1,全/三層,房地(土地+建物),土:2 建:1車:0,4房2廳4衛,,無,無,住家用,其他增建;,虎尾鎮虎興西五街
虎尾鎮虎興西五街８３號,,112/12/07,1720,28.85,59.62,,透天厝,1,全/三層,房地(土地+建物),土:2 建:1車:0,4房2廳4衛,,無,無,住家用,其他增建;,虎尾鎮虎興西五街
虎尾鎮虎興西五街８５號,,113/02/18,1760,29.09,60.5,,透天厝,1,全/三層,房地(土地+建物),土:2 建:1車:0,4房2廳4衛,,無,無,住家用,,虎尾鎮虎興西五街
虎尾鎮虎興西五街８７號,,113/01/24,1690,30.91,54.67,,透天厝,1,全/三層,房地(土地+建物),土:3 建:1車:0,4房2廳4衛,,無,無,住家用,,虎尾鎮虎興西五街
虎尾鎮虎興西五街８９號,,112/09/23,1650,30.65,53.83,,透天厝,,全/三層,房地(土地+建物),土:3 建:1車:0,4房2廳4衛,,無,無,住家用,其他增建;,虎尾鎮虎興西五街
虎尾鎮虎興西五街９１號,,112/07/03,1648,30.61,53.83,,透天厝,,全/三層,房地(土地+建物),土:3 建:1車:0,5房2廳4衛,,無,無,住家用,建物第一次登記後移轉,虎尾鎮虎興西五街
虎尾鎮虎興西五街９３號,,113/04/11,2000,36.61,54.63,,透天厝,1,全/三層,房地(土地+建物),土:2 建:1車:0,4房2廳4衛,,無,無,住家用,其他增建;,虎尾鎮虎興西五街
虎尾鎮虎興西五街１１５號三樓之３,,111/05/10,556,16.12,34.49,0.7014,華廈(10層含以下有電梯),,三層/五層,房地(土地+建物),土:1 建:1車:0,2房1廳2衛,,有,有,住家用,建物第一次登記後移轉 法定空地約定專用停車位編號8,虎尾鎮虎興西五街
虎尾鎮虎興西五街１１５號三樓之５,,111/05/03,553.6,13.5,41.08,0.6967,華廈(10層含以下有電梯),,三層/五層,房地(土地+建物)+車位,土:1 建:1車:1,2房1廳2衛,,有,有,住家用,建物第一次登記後移轉,虎尾鎮虎興西五街
虎尾鎮虎興西五街１１５號三樓之６,,111/05/04,463.5,13.7,33.83,0.6725,華廈(10層含以下有電梯),,三層/五層,房地(土地+建物)+車位,土:1 建:1車:1,2房1廳2衛,,有,有,住家用,建物第一次登記後移轉,虎尾鎮虎興西五街
虎尾鎮虎興西五街１１５號二樓之１,,111/05/08,518,16.2,31.95,0.7143,華廈(10層含以下有電梯),,二層/五層,房地(土地+建物),土:1 建:1車:0,2房1廳2衛,,有,有,住家用,建物第一次登記後移轉 法定空地約定專用停車位編號6,虎尾鎮虎興西五街
虎尾鎮虎興西五街１１５號二樓之３,,111/07/08,650,18.8,34.49,0.7014,華廈(10層含以下有電梯),,二層/五層,房地(土地+建物),土:1 建:1車:0,2房1廳2衛,,有,有,住家用,建物第一次登記後移轉 法定空地約定專用停車位編號7,虎尾鎮虎興西五街
虎尾鎮虎興西五街１１５號二樓之５,,111/05/03,551,13.4,41.08,0.6967,華廈(10層含以下有電梯),,二層/五層,房地(土地+建物)+車位,土:1 建:1車:1,2房1廳2衛,,有,有,住家用,建物第一次登記後移轉,虎尾鎮虎興西五街
虎尾鎮虎興西五街１１５號二樓之６,,111/05/11,451.6,13.4,33.83,0.6725,華廈(10層含以下有電梯),,二層/五層,房地(土地+建物)+車位,土:1 建:1車:1,2房1廳2衛,,有,有,住家用,建物第一次登記後移轉,虎尾鎮虎興西五街
虎尾鎮虎興西五街１１５號五樓之１,,111/05/13,510,16,31.95,0.7143,華廈(10層含以下有電梯),,五層/五層,房地(土地+建物),土:1 建:1車:0,2房1廳2衛,,有,有,住家用,建物第一次登記後移轉 法定空地約定專用停車位編號5,虎尾鎮虎興西五街
虎尾鎮虎興西五街１１５號五樓之２,,111/08/30,645,15.7,41.08,0.6967,華廈(10層含以下有電梯),,五層/五層,房地(土地+建物)+車位,土:1 建:1車:1,2房1廳1衛,,有,有,住家用,,虎尾鎮虎興西五街
虎尾鎮虎興西五街１１５號五樓之３,,111/05/05,550,13.9,39.64,0.6968,華廈(10層含以下有電梯),,五層/五層,房地(土地+建物)+車位,土:1 建:1車:1,2房1廳2衛,,有,有,住家用,建物第一次登記後移轉,虎尾鎮虎興西五街
虎尾鎮虎興西五街１１５號五樓之５,,111/05/11,582.4,14.2,41.08,0.6967,華廈(10層含以下有電梯),,五層/五層,房地(土地+建物)+車位,土:1 建:1車:1,2房1廳2衛,,有,有,住家用,建物第一次登記後移轉,虎尾鎮虎興西五街
虎尾鎮虎興西五街１１５號五樓之６,,111/05/03,450,13.3,33.83,0.6725,華廈(10層含以下有電梯),,五層/五層,房地(土地+建物)+車位,土:1 建:1車:1,2房1廳2衛,,有,有,住家用,建物第一次登記後移轉,虎尾鎮虎興西五街
虎尾鎮虎興西五街１１５號四樓之２,,111/05/03,550,13.4,41.08,0.6967,華廈(10層含以下有電梯),,四層/五層,房地(土地+建物)+車位,土:1 建:1車:1,2房1廳2衛,,有,有,住家用,建物第一次登記後移轉,虎尾鎮虎興西五街
虎尾鎮虎興西五街１１５號四樓之３,,111/05/06,566,16.4,34.49,0.7014,華廈(10層含以下有電梯),,四層/五層,房地(土地+建物),土:1 建:1車:0,2房1廳2衛,,有,有,住家用,建物第一次登記後移轉 法定空地約定專用停車位編號1,虎尾鎮虎興西五街
虎尾鎮虎興西五街１１５號四樓之５,,111/05/05,560,15.6,35.93,0.7011,華廈(10層含以下有電梯),,四層/五層,房地(土地+建物),土:1 建:1車:0,2房1廳2衛,,有,有,住家用,建物第一次登記後移轉 法定空地約定專用停車位編號3,虎尾鎮虎興西五街
虎尾鎮虎興西五街１１５號四樓之６,,111/05/05,464.6,13.7,33.83,0.6725,華廈(10層含以下有電梯),,四層/五層,房地(土地+建物)+車位,土:1 建:1車:1,2房1廳2衛,,有,有,住家用,建物第一次登記後移轉,虎尾鎮虎興西五街
虎尾鎮虎興西八路１號,品松境,111/06/23,1070,22.95,46.63,,透天厝,4,全/三層,房地(土地+建物),土:2 建:1車:0,4房3廳3衛,,無,無,住家用,,虎尾鎮虎興西八路
虎尾鎮虎興西八路１０７號,,112/01/04,1480,23.89,61.94,,透天厝,,全/三層,房地(土地+建物),土:1 建:1車:0,5房1廳4衛,,有,無,住家用,預售屋、或土地及建物分件登記案件;,虎尾鎮虎興西八路
虎尾鎮虎興西八路１８８號,,113/04/06,1370,21.25,64.47,,透天厝,,全/三層,房地(土地+建物),土:1 建:1車:0,5房2廳5衛,,無,無,住家用,,虎尾鎮虎興西八路
虎尾鎮虎興西八路２６６號,湯布院,113/02/25,2750,24.66,111.52,,透天厝,5,全/四層,房地(土地+建物)+車位,土:2 建:1車:2,5房1廳5衛,,有,無,住家用,有分管協議停車位,虎尾鎮虎興西八路
虎尾鎮虎興西八路２７２號,湯布院,112/09/05,2600,18.24,142.52,,透天厝,5,全/四層,房地(土地+建物),土:2 建:1車:0,6房2廳6衛,,有,有,住家用,,虎尾鎮虎興西八路
虎尾鎮虎興西十一街２５之１號,禾楓君?菁英別墅,111/01/02,1000,18.32,54.59,,透天厝,3,全/三層,房地(土地+建物),土:2 建:1車:0,4房2廳4衛,,無,無,住家用,,虎尾鎮虎興西十一街
虎尾鎮虎興西十一街３７號五樓之６,禾楓君悅菁英會館,112/06/30,800,22,36.35,0.6701,華廈(10層含以下有電梯),4,五層/十層,房地(土地+建物)+車位,土:1 建:1車:1,2房1廳2衛,,有,有,住家用,,虎尾鎮虎興西十一街
虎尾鎮虎興西十一街３７號八樓之３,禾楓君悅菁英會館,112/12/12,538,21.4,25.11,0.6801,華廈(10層含以下有電梯),4,八層/十層,房地(土地+建物)+車位,土:1 建:1車:1,1房1廳1衛,,有,有,住家用,,虎尾鎮虎興西十一街
虎尾鎮虎興西十一街３７號四樓之３,禾楓君悅菁英會館,111/06/29,300,16.8,17.86,0.68,華廈(10層含以下有電梯),3,四層/十層,房地(土地+建物),土:1 建:1車:0,1房1廳1衛,,無,無,住家用,,虎尾鎮虎興西十一街
虎尾鎮虎興西十二街８之６號,,113/01/26,1398,27.62,50.61,,透天厝,5,全/三層,房地(土地+建物),土:4 建:1車:0,3房2廳3衛,,無,無,住家用,,虎尾鎮虎興西十二街
虎尾鎮虎興西十二街５２號,禾楓君悅212(一)高鐵綻一期,112/11/07,1280,24.14,53.03,,透天厝,6,全/三層,房地(土地+建物),土:2 建:1車:0,4房1廳4衛,,無,無,住家用,,虎尾鎮虎興西十二街
虎尾鎮永興北一街１８之５號,,111/09/28,1500,19.83,75.63,,透天厝,2,全/四層,房地(土地+建物),土:4 建:1車:0,4房3廳5衛,,無,無,住家用,,虎尾鎮永興北一街
虎尾鎮永興北一街１８之７號,,113/01/26,1910,24.86,76.84,,透天厝,3,全/四層,房地(土地+建物),土:4 建:1車:0,4房3廳5衛,,無,無,住家用,,虎尾鎮永興北一街
虎尾鎮永興北一街４３號,,111/09/23,1400,21.71,64.5,,透天厝,,全/四層,房地(土地+建物),土:1 建:1車:0,6房2廳6衛,,無,無,住家用,,虎尾鎮永興北一街
虎尾鎮永興北一街８１號,,112/05/12,1220,20.41,59.77,,透天厝,8,全/四層,房地(土地+建物),土:1 建:1車:0,4房2廳4衛,,無,無,住家用,,虎尾鎮永興北一街
虎尾鎮永興北一街２００號,,111/01/18,1358,20.65,65.77,,透天厝,1,全/三層,房地(土地+建物),土:3 建:1車:0,4房1廳5衛,,無,有,住家用,,虎尾鎮永興北一街
虎尾鎮永興北一街２０２號,,111/01/18,1378,21.03,65.53,,透天厝,1,全/三層,房地(土地+建物),土:3 建:1車:0,4房1廳5衛,,無,有,住家用,,虎尾鎮永興北一街
虎尾鎮永興北一街２０６號,,111/01/28,1420,21.3,66.68,,透天厝,1,全/三層,房地(土地+建物),土:3 建:1車:0,4房1廳5衛,,無,有,住家用,,虎尾鎮永興北一街
虎尾鎮永興北三路５５號,,112/03/25,2050,24.14,84.91,,透天厝,,全/四層,房地(土地+建物),土:2 建:1車:0,5房2廳3衛,,有,有,住家用,,虎尾鎮永興北三路
虎尾鎮永興北三路５７號,,112/03/20,2000,23.41,85.44,,透天厝,,全/四層,房地(土地+建物),土:2 建:1車:0,5房2廳3衛,,有,有,住家用,,虎尾鎮永興北三路
虎尾鎮永興北三路５９號三樓之１,,112/01/26,470,15.87,29.61,0.6482,華廈(10層含以下有電梯),,三層/五層,房地(土地+建物)+車位,土:2 建:1車:1,2房1廳1衛,,有,有,住家用,,虎尾鎮永興北三路
虎尾鎮永興北三路５９號三樓之２,,112/10/13,600,20.2,29.73,0.65,華廈(10層含以下有電梯),1,三層/五層,房地(土地+建物)+車位,土:2 建:1車:1,2房1廳1衛,,有,有,住家用,,虎尾鎮永興北三路
虎尾鎮永興北三路５９號三樓之３,,112/01/14,500,16.4,30.42,0.6441,華廈(10層含以下有電梯),,三層/五層,房地(土地+建物)+車位,土:2 建:1車:1,2房1廳1衛,,有,有,住家用,,虎尾鎮永興北三路
虎尾鎮永興北三路５９號三樓之５,,112/12/28,675,22.1,30.54,0.6458,華廈(10層含以下有電梯),1,三層/五層,房地(土地+建物)+車位,土:2 建:1車:1,2房1廳1衛,,有,有,住家用,,虎尾鎮永興北三路
虎尾鎮永興北三路５９號二樓之１,,112/01/17,350,14.1,24.76,0.6496,華廈(10層含以下有電梯),,二層/五層,房地(土地+建物),土:2 建:1車:0,2房1廳1衛,,有,有,住家用,,虎尾鎮永興北三路
虎尾鎮永興北三路５９號二樓之２,,111/10/21,456,15,30.42,0.6441,華廈(10層含以下有電梯),,二層/五層,房地(土地+建物)+車位,土:2 建:1車:1,2房1廳1衛,,有,有,住家用,,虎尾鎮永興北三路
虎尾鎮永興北三路５９號二樓之３,,112/01/20,485,15.9,30.54,0.6458,華廈(10層含以下有電梯),,二層/五層,房地(土地+建物)+車位,土:2 建:1車:1,2房1廳1衛,,有,有,住家用,,虎尾鎮永興北三路
虎尾鎮永興北三路５９號五樓之１,,111/12/06,478,19.4,24.62,0.6483,華廈(10層含以下有電梯),,五層/五層,房地(土地+建物),土:2 建:1車:0,2房1廳1衛,,有,有,住家用,法定空地約定專用停車位編號1,虎尾鎮永興北三路
虎尾鎮永興北三路５９號五樓之２,,113/04/17,738,29.8,24.74,0.6501,華廈(10層含以下有電梯),1,五層/五層,房地(土地+建物)+車位,土:2 建:1車:1,2房2廳1衛,,有,有,住家用,機車編號M4,虎尾鎮永興北三路
虎尾鎮永興北三路５９號五樓之３,,111/12/22,500,16.4,30.42,0.6441,華廈(10層含以下有電梯),,五層/五層,房地(土地+建物)+車位,土:2 建:1車:1,2房1廳1衛,,有,有,住家用,,虎尾鎮永興北三路
虎尾鎮永興北三路５９號五樓之５,,112/03/21,512,16.8,30.54,0.6458,華廈(10層含以下有電梯),,五層/五層,房地(土地+建物)+車位,土:2 建:1車:1,2房1廳1衛,,有,有,住家用,,虎尾鎮永興北三路
虎尾鎮永興北三路５９號四樓之１,,112/02/20,466,15.7,29.61,0.6482,華廈(10層含以下有電梯),,四層/五層,房地(土地+建物)+車位,土:2 建:1車:1,2房1廳1衛,,有,有,住家用,,虎尾鎮永興北三路
虎尾鎮永興北三路５９號四樓之２,,111/12/18,490,16.5,29.73,0.65,華廈(10層含以下有電梯),,四層/五層,房地(土地+建物)+車位,土:2 建:1車:1,2房1廳1衛,,有,有,住家用,,虎尾鎮永興北三路
虎尾鎮永興北三路５９號四樓之３,,111/12/20,473.7,15.6,30.42,0.6441,華廈(10層含以下有電梯),,四層/五層,房地(土地+建物)+車位,土:2 建:1車:1,2房1廳1衛,,有,有,住家用,,虎尾鎮永興北三路
虎尾鎮永興北三路５９號四樓之５,,111/11/21,485,15.9,30.54,0.6458,華廈(10層含以下有電梯),,四層/五層,房地(土地+建物)+車位,土:2 建:1車:1,2房1廳1衛,,有,有,住家用,,虎尾鎮永興北三路
虎尾鎮永興北二街１５０號,禾楓君悅菁英會館,111/07/03,800,22.6,35.4,0.8351,華廈(10層含以下有電梯),3,一層/十層,房地(土地+建物),土:1 建:1車:0,,,有,有,商業用,建物第一次登記後移轉,虎尾鎮永興北二街
虎尾鎮永興北二街１５６號,禾楓君悅菁英會館,112/04/21,850,27.2,31.24,0.8365,華廈(10層含以下有電梯),4,一層/十層,房地(土地+建物)+車位,土:1 建:1車:1,1房1廳1衛,,有,有,商業用,含租約;,虎尾鎮永興北二街
虎尾鎮永興南一街６３號,,113/05/07,1680,29.35,57.24,,透天厝,,全/三層,房地(土地+建物),土:2 建:1車:0,4房2廳4衛,,無,無,住家用,,虎尾鎮永興南一街
虎尾鎮永興南一街６５號,,112/10/14,1768,31.17,56.72,,透天厝,,全/三層,房地(土地+建物),土:2 建:1車:0,4房2廳4衛,,無,無,住家用,建物第一次登記後移轉 預售屋、或土地及建物分件登記案件;,虎尾鎮永興南一街
虎尾鎮永興南一街６７號,,111/03/21,1480,26.1,56.71,,透天厝,,全/三層,房地(土地+建物),土:2 建:1車:0,4房2廳4衛,,無,無,住家用,預售屋、或土地及建物分件登記案件;,虎尾鎮永興南一街
虎尾鎮永興南一街６９之１號,,111/03/26,1428,22.13,64.54,,透天厝,,全/三層,房地(土地+建物),土:2 建:1車:0,4房2廳4衛,,無,無,住家用,預售屋、或土地及建物分件登記案件;,虎尾鎮永興南一街
虎尾鎮永興南一街６９之２號,,111/03/26,1428,21.85,65.36,,透天厝,,全/三層,房地(土地+建物),土:2 建:1車:0,4房2廳4衛,,無,無,住家用,預售屋、或土地及建物分件登記案件;,虎尾鎮永興南一街
虎尾鎮永興南一街６９之３號,,111/05/21,1458,22.47,64.9,,透天厝,,全/三層,房地(土地+建物),土:2 建:1車:0,4房2廳4衛,,無,無,住家用,預售屋、或土地及建物分件登記案件;,虎尾鎮永興南一街
虎尾鎮永興南一街６９之５號,,111/12/23,1488,23.05,64.55,,透天厝,,全/三層,房地(土地+建物),土:2 建:1車:0,4房2廳4衛,,無,無,住家用,預售屋、或土地及建物分件登記案件;,虎尾鎮永興南一街
虎尾鎮永興南一街６９之６號,,112/03/08,1528,23.59,64.78,,透天厝,,全/三層,房地(土地+建物),土:2 建:1車:0,4房2廳4衛,,無,無,住家用,預售屋、或土地及建物分件登記案件;,虎尾鎮永興南一街
虎尾鎮永興南一街６９之７號,,112/06/12,1488,23.1,64.42,,透天厝,,全/三層,房地(土地+建物),土:2 建:1車:0,4房2廳4衛,,無,無,住家用,預售屋、或土地及建物分件登記案件;,虎尾鎮永興南一街
虎尾鎮永興南一街６９號,,111/03/21,1498,26.45,56.64,,透天厝,,全/三層,房地(土地+建物),土:2 建:1車:0,4房2廳4衛,,無,無,住家用,預售屋、或土地及建物分件登記案件;,虎尾鎮永興南一街
虎尾鎮永興南九路９號,,111/02/23,1300,16.09,80.81,,透天厝,,全/四層,房地(土地+建物),土:1 建:1車:0,6房2廳5衛,,無,無,住家用,預售屋、或土地及建物分件登記案件;,虎尾鎮永興南九路
虎尾鎮永興南九路２９之１６號,農博御景,111/05/01,1320,22.7,58.15,,透天厝,3,全/三層,房地(土地+建物),土:2 建:1車:0,5房3廳5衛,,無,無,住家用,,虎尾鎮永興南九路
虎尾鎮永興南九路２９之３號,農博御景,111/08/13,1330,22.87,58.15,,透天厝,3,全/三層,房地(土地+建物),土:2 建:1車:0,4房2廳5衛,,無,無,住家用,,虎尾鎮永興南九路
虎尾鎮永興南二街２５６號,,111/04/25,580,20.12,28.83,0.8272,住宅大樓(11層含以上有電梯),,一層/十一層,房地(土地+建物),土:1 建:1車:0,1房1衛,,有,有,商業用,預售屋、或土地及建物分件登記案件;,虎尾鎮永興南二街
虎尾鎮永興南二街２５８號七樓之１０,,112/09/25,555,18,31.38,0.6552,住宅大樓(11層含以上有電梯),,七層/十一層,房地(土地+建物)+車位,土:1 建:1車:1,2房1廳1衛,45,有,有,住家用,建物第一次登記後移轉,虎尾鎮永興南二街
虎尾鎮永興南二街２５８號七樓之１１,,111/03/18,330,17.4,19.01,0.6649,住宅大樓(11層含以上有電梯),,七層/十一層,房地(土地+建物),土:1 建:1車:0,1房1廳1衛,,有,有,住家用,預售屋、或土地及建物分件登記案件;,虎尾鎮永興南二街
